real_profitability,order_sum,indicator_1,indicator_2
-15.280666658813667,14,4,46
-13.994850237730079,13,4,47
-13.3170183281891,12,4,48
-12.505218779607844,11,4,49
-11.23530694960892,10,4,50
-9.755336684124806,9,4,51
-8.326608287414704,8,4,52
-7.1230205702881415,7,4,53
-5.985845781868845,6,4,54
-4.288399152231965,5,4,55
-3.236362797490105,4,4,56
-2.3336706833961514,3,4,57
-1.5727364111430115,2,4,58
-0.8091237236329315,1,4,59
-3.89102329073728,9,5,6
-2.2596644822186267,8,5,7
-4.6954951365294155,32,5,8
-6.164658418559775,32,5,9
20.389031890131104,31,5,10
14.561746088745647,30,5,11
13.342740234815093,30,5,12
-1.485386652033072,3,5,13
-1.1407998410184101,3,5,14
-1.2947436873779146,3,5,15
-1.9929701262861912,3,5,16
-2.029980654497208,3,5,17
-1.9445528080244683,3,5,18
-1.8847728288528247,3,5,19
-1.7974275918988543,3,5,20
-2.1328768798168998,3,5,21
-1.4603628802710547,2,5,22
-1.19735002176653,2,5,23
-0.981630161608797,2,5,24
-1.1990727548771871,2,5,25
-1.0854425400619672,2,5,26
-19.123131823077806,19,5,27
-19.389787403320305,19,5,28
-20.074947831539518,19,5,29
-19.989658266718294,19,5,30
-19.759712890028815,19,5,31
-19.587897085818675,19,5,32
-20.536416869416954,20,5,33
-19.611530300874684,19,5,34
-19.611530300874684,19,5,35
-19.611530300874684,19,5,36
-19.611530300874684,19,5,37
-19.611530300874684,19,5,38
-19.611530300874684,19,5,39
-19.611530300874684,19,5,40
-19.611530300874684,19,5,41
-18.708838186780735,18,5,42
-17.902390431903548,17,5,43
-17.267504328269638,16,5,44
-16.2714194918743,15,5,45
-15.280666658813667,14,5,46
-13.994850237730079,13,5,47
-13.3170183281891,12,5,48
-12.505218779607844,11,5,49
-11.23530694960892,10,5,50
-9.755336684124806,9,5,51
-8.326608287414704,8,5,52
-7.1230205702881415,7,5,53
-5.985845781868845,6,5,54
-4.288399152231965,5,5,55
-3.236362797490105,4,5,56
-2.3336706833961514,3,5,57
-1.5727364111430115,2,5,58
-0.8091237236329315,1,5,59
-7.286866467988252,35,6,7
-6.164001551910399,33,6,8
-5.578318394883487,31,6,9
18.240192888176264,30,6,10
14.361786983359597,30,6,11
13.342740234815093,30,6,12
-1.7991648912026705,3,6,13
-1.4545780801880086,3,6,14
-1.608521926547513,3,6,15
-1.1139112272482463,2,6,16
-1.4646999946288617,2,6,17
-1.3792721481561219,2,6,18
-1.3194921689844783,2,6,19
-1.1355467855171222,2,6,20
-1.3263280093213683,2,6,21
-1.3637627337576692,2,6,22
-1.1007498752531446,2,6,23
-0.8850274181078448,2,6,24
-1.1990727548771871,2,6,25
-1.0854425400619672,2,6,26
-19.123131823077806,19,6,27
-19.389787403320305,19,6,28
-20.074947831539518,19,6,29
-19.989658266718294,19,6,30
-19.759712890028815,19,6,31
-19.587897085818675,19,6,32
-19.633724755323,19,6,33
-18.59638510443935,19,6,34
-18.708838186780735,18,6,35
-18.708838186780735,18,6,36
-19.611530300874684,19,6,37
-19.611530300874684,19,6,38
-19.611530300874684,19,6,39
-19.611530300874684,19,6,40
-19.611530300874684,19,6,41
-18.708838186780735,18,6,42
-17.902390431903548,17,6,43
-17.267504328269638,16,6,44
-16.2714194918743,15,6,45
-15.280666658813667,14,6,46
-13.994850237730079,13,6,47
-13.3170183281891,12,6,48
-12.505218779607844,11,6,49
-11.23530694960892,10,6,50
-9.755336684124806,9,6,51
-8.326608287414704,8,6,52
-7.1230205702881415,7,6,53
-5.985845781868845,6,6,54
-4.288399152231965,5,6,55
-3.236362797490105,4,6,56
-2.3336706833961514,3,6,57
-1.5727364111430115,2,6,58
-0.8091237236329315,1,6,59
-7.636143702480127,35,7,8
-6.896739128555023,31,7,9
17.981420421826346,30,7,10
14.048008744189996,30,7,11
11.069930852088394,29,7,12
-0.823222774006585,2,7,13
-0.478635962991923,2,7,14
-0.6325798093514275,2,7,15
-1.0170280090901056,2,7,16
-1.3679622077744484,2,7,17
-1.2825343613017086,2,7,18
-1.2227543821300648,2,7,19
-1.1355467855171222,2,7,20
-1.3263280093213683,2,7,21
-1.3637627337576692,2,7,22
-1.1007498752531446,2,7,23
-0.7128269242344665,2,7,24
-1.0275111036339104,2,7,25
-0.9138808888186905,2,7,26
-18.31668406820062,18,7,27
-18.583339648443115,18,7,28
-19.268500076662328,18,7,29
-19.18321051184111,18,7,30
-18.953265135151632,18,7,31
-18.78144933094149,18,7,32
-18.827277000445815,18,7,33
-18.59638510443935,19,7,34
-19.06614957474151,19,7,35
-18.708838186780735,18,7,36
-18.708838186780735,18,7,37
-18.708838186780735,18,7,38
-18.708838186780735,18,7,39
-19.611530300874684,19,7,40
-19.611530300874684,19,7,41
-18.708838186780735,18,7,42
-17.902390431903548,17,7,43
-17.267504328269638,16,7,44
-16.2714194918743,15,7,45
-15.280666658813667,14,7,46
-13.994850237730079,13,7,47
-13.3170183281891,12,7,48
-12.505218779607844,11,7,49
-11.23530694960892,10,7,50
-9.755336684124806,9,7,51
-8.326608287414704,8,7,52
-7.1230205702881415,7,7,53
-5.985845781868845,6,7,54
-4.288399152231965,5,7,55
-3.236362797490105,4,7,56
-2.3336706833961514,3,7,57
-1.5727364111430115,2,7,58
-0.8091237236329315,1,7,59
-7.790788273000505,32,8,9
17.011292747780534,31,8,10
12.185860818791038,29,8,11
12.0917006387888,28,8,12
-0.823222774006585,2,8,13
-0.478635962991923,2,8,14
-0.45987935168057825,2,8,15
-0.8443275514192563,2,8,16
-1.3679622077744484,2,8,17
-1.2825343613017086,2,8,18
-1.2227543821300648,2,8,19
-0.9633509209381648,2,8,20
-1.154132144742411,2,8,21
-1.1915668691787118,2,8,22
-0.9285540106741872,2,8,23
-0.7128269242344665,2,8,24
-1.0275111036339104,2,8,25
-18.181385217088327,18,8,26
-17.68179796456671,17,8,27
-17.948453544809208,17,8,28
-18.63361397302842,17,8,29
-18.548324408207197,17,8,30
-18.318379031517722,17,8,31
-18.146563227307585,17,8,32
-18.192390896811904,17,8,33
-17.789937349562166,18,8,34
-18.259701819864326,18,8,35
-17.902390431903548,17,8,36
-17.902390431903548,17,8,37
-18.708838186780735,18,8,38
-18.708838186780735,18,8,39
-18.708838186780735,18,8,40
-18.708838186780735,18,8,41
-18.708838186780735,18,8,42
-17.902390431903548,17,8,43
-17.267504328269638,16,8,44
-16.2714194918743,15,8,45
-15.280666658813667,14,8,46
-13.994850237730079,13,8,47
-13.3170183281891,12,8,48
-12.505218779607844,11,8,49
-11.23530694960892,10,8,50
-9.755336684124806,9,8,51
-8.326608287414704,8,8,52
-7.1230205702881415,7,8,53
-5.985845781868845,6,8,54
-4.288399152231965,5,8,55
-3.236362797490105,4,8,56
-2.3336706833961514,3,8,57
-1.5727364111430115,2,8,58
-0.8091237236329315,1,8,59
14.179688922188216,32,9,10
11.580079486159228,30,9,11
10.574080215857073,27,9,12
-0.6505223163357357,2,9,13
-0.3059355053210737,2,9,14
-0.45987935168057825,2,9,15
-0.8443275514192563,2,9,16
-1.1955209905911766,2,9,17
-1.110093144118437,2,9,18
-1.0503131649467932,2,9,19
-0.9633509209381648,2,9,20
-1.154132144742411,2,9,21
-1.1915668691787118,2,9,22
-1.2910879896954133,2,9,23
-1.075370649578757,2,9,24
-1.3887098363953332,2,9,25
-17.546499113454416,17,9,26
-17.68179796456671,17,9,27
-17.948453544809208,17,9,28
-18.63361397302842,17,9,29
-18.548324408207197,17,9,30
-18.318379031517722,17,9,31
-18.146563227307585,17,9,32
-18.192390896811904,17,9,33
-17.155051245928252,17,9,34
-17.624815716230415,17,9,35
-18.091354974617936,18,9,36
-18.616463297921918,18,9,37
-17.902390431903548,17,9,38
-17.902390431903548,17,9,39
-17.902390431903548,17,9,40
-17.902390431903548,17,9,41
-17.902390431903548,17,9,42
-17.902390431903548,17,9,43
-17.267504328269638,16,9,44
-16.2714194918743,15,9,45
-15.280666658813667,14,9,46
-13.994850237730079,13,9,47
-13.3170183281891,12,9,48
-12.505218779607844,11,9,49
-11.23530694960892,10,9,50
-9.755336684124806,9,9,51
-8.326608287414704,8,9,52
-7.1230205702881415,7,9,53
-5.985845781868845,6,9,54
-4.288399152231965,5,9,55
-3.236362797490105,4,9,56
-2.3336706833961514,3,9,57
-1.5727364111430115,2,9,58
-0.8091237236329315,1,9,59
12.481157619652286,32,10,11
10.238238062029652,28,10,12
-1.156648559444593,3,10,13
-0.6695318335563041,2,10,14
-0.8234756799158086,2,10,15
-1.2079238796544867,2,10,16
-1.5585715247348086,2,10,17
-1.4731436782620688,2,10,18
-1.413363699090425,2,10,19
-1.3258848999593909,2,10,20
-1.5166661237636374,2,10,21
-1.5541008481999379,2,10,22
-1.2910879896954133,2,10,23
-1.075370649578757,2,10,24
-1.3887098363953332,2,10,25
-17.546499113454416,17,10,26
-16.685713128171376,16,10,27
-16.95236870841387,16,10,28
-17.637529136633084,16,10,29
-17.552239571811867,16,10,30
-17.32229419512239,16,10,31
-17.150478390912248,16,10,32
-17.196306060416568,16,10,33
-16.15896640953292,16,10,34
-16.628730879835082,16,10,35
-17.456468870984025,17,10,36
-17.981577194288008,17,10,37
-17.267504328269638,16,10,38
-17.267504328269638,16,10,39
-17.267504328269638,16,10,40
-17.267504328269638,16,10,41
-17.902390431903548,17,10,42
-17.902390431903548,17,10,43
-17.267504328269638,16,10,44
-16.2714194918743,15,10,45
-15.280666658813667,14,10,46
-13.994850237730079,13,10,47
-13.3170183281891,12,10,48
-12.505218779607844,11,10,49
-11.23530694960892,10,10,50
-9.755336684124806,9,10,51
-8.326608287414704,8,10,52
-7.1230205702881415,7,10,53
-5.985845781868845,6,10,54
-4.288399152231965,5,10,55
-3.236362797490105,4,10,56
-2.3336706833961514,3,10,57
-1.5727364111430115,2,10,58
-0.8091237236329315,1,10,59
8.643361160289327,30,11,12
-1.8671685058851142,4,11,13
-0.9268286586739907,3,11,14
-0.8181082833587581,2,11,15
-1.2025564830974362,2,11,16
-1.553212185171464,2,11,17
-1.4677843386987242,2,11,18
-1.4080043595270806,2,11,19
-1.3205331857650897,2,11,20
-1.5113144095693358,2,11,21
-1.5487491340056367,2,11,22
-1.2857362755011121,2,11,23
-11.499066736500884,16,11,24
-16.664044491874307,16,11,25
-16.550414277059083,16,11,26
-16.685713128171376,16,11,27
-16.95236870841387,16,11,28
-17.637529136633084,16,11,29
-17.552239571811867,16,11,30
-17.32229419512239,16,11,31
-17.150478390912248,16,11,32
-16.205553227355935,15,11,33
-15.168213576472281,15,11,34
-16.628730879835082,16,11,35
-16.460384034588692,16,11,36
-16.985492357892674,16,11,37
-16.959429440791673,16,11,38
-16.2714194918743,15,11,39
-16.2714194918743,15,11,40
-17.267504328269638,16,11,41
-17.267504328269638,16,11,42
-17.267504328269638,16,11,43
-17.267504328269638,16,11,44
-16.2714194918743,15,11,45
-15.280666658813667,14,11,46
-13.994850237730079,13,11,47
-13.3170183281891,12,11,48
-12.505218779607844,11,11,49
-11.23530694960892,10,11,50
-9.755336684124806,9,11,51
-8.326608287414704,8,11,52
-7.1230205702881415,7,11,53
-5.985845781868845,6,11,54
-4.288399152231965,5,11,55
-3.236362797490105,4,11,56
-2.3336706833961514,3,11,57
-1.5727364111430115,2,11,58
-0.8091237236329315,1,11,59
-2.7631817456819,5,12,13
-1.7146649985486253,4,12,14
-1.0594851212751983,3,12,15
-1.2025564830974362,2,12,16
-1.849788511503226,2,12,17
-1.7643606650304862,2,12,18
-1.7045806858588426,2,12,19
-1.6166875377265004,2,12,20
-1.8074687615307465,2,12,21
-11.383952728556242,15,12,22
-11.120939870051718,15,12,23
-10.878455791163876,15,12,24
-15.673291658813666,15,12,25
-15.559661443998449,15,12,26
-15.694960295110738,15,12,27
-15.961615875353237,15,12,28
-16.64677630357245,15,12,29
-16.561486738751228,15,12,30
-16.331541362061753,15,12,31
-16.159725557851615,15,12,32
-16.205553227355935,15,12,33
-15.168213576472281,15,12,34
-15.637978046774444,15,12,35
-15.469631201528054,15,12,36
-15.994739524832037,15,12,37
-15.968676607731036,15,12,38
-15.935625270304396,16,12,39
-16.917045514644393,16,12,40
-17.174111605968257,16,12,41
-16.2714194918743,15,12,42
